side 1 name,side 1 email,side 2 name,side 2 email,winner,# pocketed for player 1,# pocketed for player 2
Jim,jim.morison@jj.com,yoyo,jim.morison@jj.com,,0,0
Jim,jim.morison@jj.com,Chris,jake@gmail.com,,0,0
Jim,jim.morison@jj.com,Jake,jake@gmail.com,,0,0
Jim,jim.morison@jj.com,Joana,joana.jhonson@gmail.com,,0,0
yoyo,jim.morison@jj.com,yoyo,jim.morison@jj.com,,0,0
yoyo,jim.morison@jj.com,Jake,jake@gmail.com,,0,0
yoyo,jim.morison@jj.com,Joana,joana.jhonson@gmail.com,,0,0
Chris,jake@gmail.com,yoyo,jim.morison@jj.com,,0,0
Chris,jake@gmail.com,Jake,jake@gmail.com,,0,0
Jake,jake@gmail.com,yoyo,jim.morison@jj.com,,0,0
Jake,jake@gmail.com,Jake,jake@gmail.com,,0,0
Joana,joana.jhonson@gmail.com,yoyo,jim.morison@jj.com,,0,0
Joana,joana.jhonson@gmail.com,Jake,jake@gmail.com,,0,0
